Assay,OlinkID,UniProt,Panel,n_measurements,n_missing,missing_rate,below_lod_rate,qc_warning_rate
Protein_075,OID10075,P10075,Olink Oncology,96,6,0.0625,0.0625,0.0729
Protein_097,OID10097,P10097,Olink Cardiometabolic,96,5,0.0521,0.0729,0.0208
Protein_018,OID10018,P10018,Olink Neurology,96,4,0.0417,0.0833,0.0521
Protein_032,OID10032,P10032,Olink Inflammation,96,4,0.0417,0.0729,0.0521
Protein_047,OID10047,P10047,Olink Oncology,96,4,0.0417,0.0521,0.0208
Protein_150,OID10150,P10150,Olink Neurology,96,4,0.0417,0.0521,0.0208
Protein_155,OID10155,P10155,Olink Oncology,96,4,0.0417,0.0521,0.0729
Protein_178,OID10178,P10178,Olink Neurology,96,4,0.0417,0.0521,0.0312
Protein_188,OID10188,P10188,Olink Inflammation,96,4,0.0417,0.0521,0.0312
Protein_101,OID10101,P10101,Olink Cardiometabolic,96,4,0.0417,0.0417,0.0208
Protein_102,OID10102,P10102,Olink Neurology,96,3,0.0312,0.0625,0.0312
Protein_149,OID10149,P10149,Olink Cardiometabolic,96,3,0.0312,0.0625,0.0104
Protein_184,OID10184,P10184,Olink Inflammation,96,3,0.0312,0.0625,0.0417
Protein_023,OID10023,P10023,Olink Oncology,96,3,0.0312,0.0521,0.0312
Protein_028,OID10028,P10028,Olink Inflammation,96,3,0.0312,0.0521,0.0
Protein_046,OID10046,P10046,Olink Neurology,96,3,0.0312,0.0521,0.0417
Protein_055,OID10055,P10055,Olink Oncology,96,3,0.0312,0.0521,0.0208
Protein_107,OID10107,P10107,Olink Oncology,96,3,0.0312,0.0521,0.0312
Protein_134,OID10134,P10134,Olink Neurology,96,3,0.0312,0.0521,0.0417
Protein_163,OID10163,P10163,Olink Oncology,96,3,0.0312,0.0521,0.0521
Protein_000,OID10000,P10000,Olink Inflammation,96,3,0.0312,0.0417,0.0104
Protein_014,OID10014,P10014,Olink Neurology,96,3,0.0312,0.0417,0.0521
Protein_027,OID10027,P10027,Olink Oncology,96,3,0.0312,0.0417,0.0312
Protein_034,OID10034,P10034,Olink Neurology,96,3,0.0312,0.0417,0.0
Protein_130,OID10130,P10130,Olink Neurology,96,3,0.0312,0.0417,0.0
Protein_020,OID10020,P10020,Olink Inflammation,96,3,0.0312,0.0312,0.0417
Protein_042,OID10042,P10042,Olink Neurology,96,3,0.0312,0.0312,0.0833
Protein_111,OID10111,P10111,Olink Oncology,96,3,0.0312,0.0312,0.0417
Protein_113,OID10113,P10113,Olink Cardiometabolic,96,3,0.0312,0.0312,0.0417
Protein_122,OID10122,P10122,Olink Neurology,96,3,0.0312,0.0312,0.0208
Protein_128,OID10128,P10128,Olink Inflammation,96,3,0.0312,0.0312,0.0312
Protein_131,OID10131,P10131,Olink Oncology,96,3,0.0312,0.0312,0.0729
Protein_147,OID10147,P10147,Olink Oncology,96,3,0.0312,0.0312,0.0729
Protein_170,OID10170,P10170,Olink Neurology,96,3,0.0312,0.0312,0.0208
Protein_181,OID10181,P10181,Olink Cardiometabolic,96,3,0.0312,0.0312,0.0312
Protein_081,OID10081,P10081,Olink Cardiometabolic,96,2,0.0208,0.0833,0.0417
Protein_038,OID10038,P10038,Olink Neurology,96,2,0.0208,0.0625,0.0417
Protein_116,OID10116,P10116,Olink Inflammation,96,2,0.0208,0.0625,0.0312
Protein_138,OID10138,P10138,Olink Neurology,96,2,0.0208,0.0625,0.0417
Protein_083,OID10083,P10083,Olink Oncology,96,2,0.0208,0.0521,0.0312
Protein_006,OID10006,P10006,Olink Neurology,96,2,0.0208,0.0417,0.0417
Protein_008,OID10008,P10008,Olink Inflammation,96,2,0.0208,0.0417,0.0521
Protein_010,OID10010,P10010,Olink Neurology,96,2,0.0208,0.0417,0.0521
Protein_022,OID10022,P10022,Olink Neurology,96,2,0.0208,0.0417,0.0625
Protein_037,OID10037,P10037,Olink Cardiometabolic,96,2,0.0208,0.0417,0.0312
Protein_040,OID10040,P10040,Olink Inflammation,96,2,0.0208,0.0417,0.0521
Protein_078,OID10078,P10078,Olink Neurology,96,2,0.0208,0.0417,0.0208
Protein_099,OID10099,P10099,Olink Oncology,96,2,0.0208,0.0417,0.0521
Protein_103,OID10103,P10103,Olink Oncology,96,2,0.0208,0.0417,0.0104
Protein_124,OID10124,P10124,Olink Inflammation,96,2,0.0208,0.0417,0.0208
Protein_137,OID10137,P10137,Olink Cardiometabolic,96,2,0.0208,0.0417,0.0104
Protein_190,OID10190,P10190,Olink Neurology,96,2,0.0208,0.0417,0.0729
Protein_203,OID10203,P10203,Olink Oncology,96,2,0.0208,0.0417,0.0417
Protein_230,OID10230,P10230,Olink Neurology,96,2,0.0208,0.0417,0.0312
Protein_009,OID10009,P10009,Olink Cardiometabolic,96,2,0.0208,0.0312,0.0104
Protein_026,OID10026,P10026,Olink Neurology,96,2,0.0208,0.0312,0.0417
Protein_043,OID10043,P10043,Olink Oncology,96,2,0.0208,0.0312,0.0312
Protein_056,OID10056,P10056,Olink Inflammation,96,2,0.0208,0.0312,0.0521
Protein_086,OID10086,P10086,Olink Neurology,96,2,0.0208,0.0312,0.0312
Protein_090,OID10090,P10090,Olink Neurology,96,2,0.0208,0.0312,0.0208
Protein_110,OID10110,P10110,Olink Neurology,96,2,0.0208,0.0312,0.0208
Protein_136,OID10136,P10136,Olink Inflammation,96,2,0.0208,0.0312,0.0208
Protein_145,OID10145,P10145,Olink Cardiometabolic,96,2,0.0208,0.0312,0.0417
Protein_152,OID10152,P10152,Olink Inflammation,96,2,0.0208,0.0312,0.0312
Protein_179,OID10179,P10179,Olink Oncology,96,2,0.0208,0.0312,0.0312
Protein_208,OID10208,P10208,Olink Inflammation,96,2,0.0208,0.0312,0.0104
Protein_212,OID10212,P10212,Olink Inflammation,96,2,0.0208,0.0312,0.0521
Protein_215,OID10215,P10215,Olink Oncology,96,2,0.0208,0.0312,0.0417
Protein_217,OID10217,P10217,Olink Cardiometabolic,96,2,0.0208,0.0312,0.0417
Protein_224,OID10224,P10224,Olink Inflammation,96,2,0.0208,0.0312,0.0312
Protein_228,OID10228,P10228,Olink Inflammation,96,2,0.0208,0.0312,0.0625
Protein_229,OID10229,P10229,Olink Cardiometabolic,96,2,0.0208,0.0312,0.0208
Protein_005,OID10005,P10005,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0417
Protein_039,OID10039,P10039,Olink Oncology,96,2,0.0208,0.0208,0.0417
Protein_044,OID10044,P10044,Olink Inflammation,96,2,0.0208,0.0208,0.0312
Protein_050,OID10050,P10050,Olink Neurology,96,2,0.0208,0.0208,0.0417
Protein_071,OID10071,P10071,Olink Oncology,96,2,0.0208,0.0208,0.0625
Protein_073,OID10073,P10073,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0417
Protein_076,OID10076,P10076,Olink Inflammation,96,2,0.0208,0.0208,0.0521
Protein_080,OID10080,P10080,Olink Inflammation,96,2,0.0208,0.0208,0.0104
Protein_082,OID10082,P10082,Olink Neurology,96,2,0.0208,0.0208,0.0312
Protein_095,OID10095,P10095,Olink Oncology,96,2,0.0208,0.0208,0.0208
Protein_104,OID10104,P10104,Olink Inflammation,96,2,0.0208,0.0208,0.0312
Protein_105,OID10105,P10105,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0312
Protein_112,OID10112,P10112,Olink Inflammation,96,2,0.0208,0.0208,0.0521
Protein_129,OID10129,P10129,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0312
Protein_135,OID10135,P10135,Olink Oncology,96,2,0.0208,0.0208,0.0312
Protein_139,OID10139,P10139,Olink Oncology,96,2,0.0208,0.0208,0.0625
Protein_141,OID10141,P10141,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0729
Protein_146,OID10146,P10146,Olink Neurology,96,2,0.0208,0.0208,0.0208
Protein_169,OID10169,P10169,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0625
Protein_175,OID10175,P10175,Olink Oncology,96,2,0.0208,0.0208,0.0625
Protein_180,OID10180,P10180,Olink Inflammation,96,2,0.0208,0.0208,0.0312
Protein_197,OID10197,P10197,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0104
Protein_202,OID10202,P10202,Olink Neurology,96,2,0.0208,0.0208,0.0208
Protein_209,OID10209,P10209,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0417
Protein_237,OID10237,P10237,Olink Cardiometabolic,96,2,0.0208,0.0208,0.0312
Protein_238,OID10238,P10238,Olink Neurology,96,2,0.0208,0.0208,0.0312
Protein_091,OID10091,P10091,Olink Oncology,96,1,0.0104,0.0521,0.0208
Protein_015,OID10015,P10015,Olink Oncology,96,1,0.0104,0.0417,0.0625
Protein_119,OID10119,P10119,Olink Oncology,96,1,0.0104,0.0417,0.0208
Protein_144,OID10144,P10144,Olink Inflammation,96,1,0.0104,0.0417,0.0729
Protein_019,OID10019,P10019,Olink Oncology,96,1,0.0104,0.0312,0.0729
Protein_025,OID10025,P10025,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0417
Protein_058,OID10058,P10058,Olink Neurology,96,1,0.0104,0.0312,0.0208
Protein_068,OID10068,P10068,Olink Inflammation,96,1,0.0104,0.0312,0.0104
Protein_089,OID10089,P10089,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0312
Protein_092,OID10092,P10092,Olink Inflammation,96,1,0.0104,0.0312,0.0208
Protein_109,OID10109,P10109,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0417
Protein_117,OID10117,P10117,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0312
Protein_118,OID10118,P10118,Olink Neurology,96,1,0.0104,0.0312,0.0417
Protein_120,OID10120,P10120,Olink Inflammation,96,1,0.0104,0.0312,0.0104
Protein_165,OID10165,P10165,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0521
Protein_173,OID10173,P10173,Olink Cardiometabolic,96,1,0.0104,0.0312,0.0312
Protein_174,OID10174,P10174,Olink Neurology,96,1,0.0104,0.0312,0.0417
Protein_194,OID10194,P10194,Olink Neurology,96,1,0.0104,0.0312,0.0417
Protein_200,OID10200,P10200,Olink Inflammation,96,1,0.0104,0.0312,0.0208
Protein_002,OID10002,P10002,Olink Neurology,96,1,0.0104,0.0208,0.0208
Protein_017,OID10017,P10017,Olink Cardiometabolic,96,1,0.0104,0.0208,0.0417
Protein_024,OID10024,P10024,Olink Inflammation,96,1,0.0104,0.0208,0.0729
Protein_033,OID10033,P10033,Olink Cardiometabolic,96,1,0.0104,0.0208,0.0208
Protein_036,OID10036,P10036,Olink Inflammation,96,1,0.0104,0.0208,0.0625
Protein_051,OID10051,P10051,Olink Oncology,96,1,0.0104,0.0208,0.0208
Protein_054,OID10054,P10054,Olink Neurology,96,1,0.0104,0.0208,0.0729
Protein_059,OID10059,P10059,Olink Oncology,96,1,0.0104,0.0208,0.0417
Protein_063,OID10063,P10063,Olink Oncology,96,1,0.0104,0.0208,0.0521
Protein_065,OID10065,P10065,Olink Cardiometabolic,96,1,0.0104,0.0208,0.0417
Protein_079,OID10079,P10079,Olink Oncology,96,1,0.0104,0.0208,0.0312
Protein_085,OID10085,P10085,Olink Cardiometabolic,96,1,0.0104,0.0208,0.0417
Protein_100,OID10100,P10100,Olink Inflammation,96,1,0.0104,0.0208,0.0625
Protein_115,OID10115,P10115,Olink Oncology,96,1,0.0104,0.0208,0.0208
Protein_123,OID10123,P10123,Olink Oncology,96,1,0.0104,0.0208,0.0104
Protein_126,OID10126,P10126,Olink Neurology,96,1,0.0104,0.0208,0.0208
Protein_160,OID10160,P10160,Olink Inflammation,96,1,0.0104,0.0208,0.0
Protein_162,OID10162,P10162,Olink Neurology,96,1,0.0104,0.0208,0.0417
Protein_164,OID10164,P10164,Olink Inflammation,96,1,0.0104,0.0208,0.0521
Protein_166,OID10166,P10166,Olink Neurology,96,1,0.0104,0.0208,0.0938
Protein_171,OID10171,P10171,Olink Oncology,96,1,0.0104,0.0208,0.0312
Protein_186,OID10186,P10186,Olink Neurology,96,1,0.0104,0.0208,0.0208
Protein_196,OID10196,P10196,Olink Inflammation,96,1,0.0104,0.0208,0.0521
Protein_210,OID10210,P10210,Olink Neurology,96,1,0.0104,0.0208,0.0417
Protein_220,OID10220,P10220,Olink Inflammation,96,1,0.0104,0.0208,0.0312
Protein_227,OID10227,P10227,Olink Oncology,96,1,0.0104,0.0208,0.0312
Protein_232,OID10232,P10232,Olink Inflammation,96,1,0.0104,0.0208,0.0312
Protein_233,OID10233,P10233,Olink Cardiometabolic,96,1,0.0104,0.0208,0.0417
Protein_234,OID10234,P10234,Olink Neurology,96,1,0.0104,0.0208,0.0312
Protein_236,OID10236,P10236,Olink Inflammation,96,1,0.0104,0.0208,0.0208
Protein_001,OID10001,P10001,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0625
Protein_029,OID10029,P10029,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0104
Protein_041,OID10041,P10041,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0312
Protein_061,OID10061,P10061,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0312
Protein_062,OID10062,P10062,Olink Neurology,96,1,0.0104,0.0104,0.0104
Protein_072,OID10072,P10072,Olink Inflammation,96,1,0.0104,0.0104,0.0521
Protein_074,OID10074,P10074,Olink Neurology,96,1,0.0104,0.0104,0.0104
Protein_087,OID10087,P10087,Olink Oncology,96,1,0.0104,0.0104,0.0729
Protein_088,OID10088,P10088,Olink Inflammation,96,1,0.0104,0.0104,0.0208
Protein_096,OID10096,P10096,Olink Inflammation,96,1,0.0104,0.0104,0.0208
Protein_098,OID10098,P10098,Olink Neurology,96,1,0.0104,0.0104,0.0
Protein_156,OID10156,P10156,Olink Inflammation,96,1,0.0104,0.0104,0.0312
Protein_158,OID10158,P10158,Olink Neurology,96,1,0.0104,0.0104,0.0312
Protein_183,OID10183,P10183,Olink Oncology,96,1,0.0104,0.0104,0.0521
Protein_185,OID10185,P10185,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0312
Protein_187,OID10187,P10187,Olink Oncology,96,1,0.0104,0.0104,0.0521
Protein_204,OID10204,P10204,Olink Inflammation,96,1,0.0104,0.0104,0.0417
Protein_214,OID10214,P10214,Olink Neurology,96,1,0.0104,0.0104,0.0312
Protein_219,OID10219,P10219,Olink Oncology,96,1,0.0104,0.0104,0.0208
Protein_225,OID10225,P10225,Olink Cardiometabolic,96,1,0.0104,0.0104,0.0104
Protein_239,OID10239,P10239,Olink Oncology,96,1,0.0104,0.0104,0.0417
Protein_154,OID10154,P10154,Olink Neurology,96,0,0.0,0.0417,0.0104
Protein_222,OID10222,P10222,Olink Neurology,96,0,0.0,0.0417,0.0312
Protein_045,OID10045,P10045,Olink Cardiometabolic,96,0,0.0,0.0312,0.0417
Protein_049,OID10049,P10049,Olink Cardiometabolic,96,0,0.0,0.0312,0.0312
Protein_057,OID10057,P10057,Olink Cardiometabolic,96,0,0.0,0.0312,0.0312
Protein_206,OID10206,P10206,Olink Neurology,96,0,0.0,0.0312,0.0208
Protein_012,OID10012,P10012,Olink Inflammation,96,0,0.0,0.0208,0.0625
Protein_013,OID10013,P10013,Olink Cardiometabolic,96,0,0.0,0.0208,0.0208
Protein_030,OID10030,P10030,Olink Neurology,96,0,0.0,0.0208,0.0417
Protein_035,OID10035,P10035,Olink Oncology,96,0,0.0,0.0208,0.0312
Protein_048,OID10048,P10048,Olink Inflammation,96,0,0.0,0.0208,0.0312
Protein_077,OID10077,P10077,Olink Cardiometabolic,96,0,0.0,0.0208,0.0417
Protein_084,OID10084,P10084,Olink Inflammation,96,0,0.0,0.0208,0.0
Protein_167,OID10167,P10167,Olink Oncology,96,0,0.0,0.0208,0.0104
Protein_176,OID10176,P10176,Olink Inflammation,96,0,0.0,0.0208,0.0208
Protein_177,OID10177,P10177,Olink Cardiometabolic,96,0,0.0,0.0208,0.0312
Protein_189,OID10189,P10189,Olink Cardiometabolic,96,0,0.0,0.0208,0.0417
Protein_195,OID10195,P10195,Olink Oncology,96,0,0.0,0.0208,0.0312
Protein_201,OID10201,P10201,Olink Cardiometabolic,96,0,0.0,0.0208,0.0417
Protein_211,OID10211,P10211,Olink Oncology,96,0,0.0,0.0208,0.0521
Protein_221,OID10221,P10221,Olink Cardiometabolic,96,0,0.0,0.0208,0.0208
Protein_223,OID10223,P10223,Olink Oncology,96,0,0.0,0.0208,0.0208
Protein_231,OID10231,P10231,Olink Oncology,96,0,0.0,0.0208,0.0417
Protein_004,OID10004,P10004,Olink Inflammation,96,0,0.0,0.0104,0.0
Protein_011,OID10011,P10011,Olink Oncology,96,0,0.0,0.0104,0.0521
Protein_021,OID10021,P10021,Olink Cardiometabolic,96,0,0.0,0.0104,0.0417
Protein_052,OID10052,P10052,Olink Inflammation,96,0,0.0,0.0104,0.0417
Protein_053,OID10053,P10053,Olink Cardiometabolic,96,0,0.0,0.0104,0.0208
Protein_064,OID10064,P10064,Olink Inflammation,96,0,0.0,0.0104,0.0312
Protein_067,OID10067,P10067,Olink Oncology,96,0,0.0,0.0104,0.0521
Protein_070,OID10070,P10070,Olink Neurology,96,0,0.0,0.0104,0.0521
Protein_114,OID10114,P10114,Olink Neurology,96,0,0.0,0.0104,0.0417
Protein_125,OID10125,P10125,Olink Cardiometabolic,96,0,0.0,0.0104,0.0208
Protein_127,OID10127,P10127,Olink Oncology,96,0,0.0,0.0104,0.0312
Protein_142,OID10142,P10142,Olink Neurology,96,0,0.0,0.0104,0.0208
Protein_143,OID10143,P10143,Olink Oncology,96,0,0.0,0.0104,0.0729
Protein_153,OID10153,P10153,Olink Cardiometabolic,96,0,0.0,0.0104,0.0312
Protein_159,OID10159,P10159,Olink Oncology,96,0,0.0,0.0104,0.0938
Protein_191,OID10191,P10191,Olink Oncology,96,0,0.0,0.0104,0.0312
Protein_192,OID10192,P10192,Olink Inflammation,96,0,0.0,0.0104,0.0521
Protein_193,OID10193,P10193,Olink Cardiometabolic,96,0,0.0,0.0104,0.0312
Protein_213,OID10213,P10213,Olink Cardiometabolic,96,0,0.0,0.0104,0.0312
Protein_003,OID10003,P10003,Olink Oncology,96,0,0.0,0.0,0.0521
Protein_007,OID10007,P10007,Olink Oncology,96,0,0.0,0.0,0.0521
Protein_016,OID10016,P10016,Olink Inflammation,96,0,0.0,0.0,0.0208
Protein_031,OID10031,P10031,Olink Oncology,96,0,0.0,0.0,0.0312
Protein_060,OID10060,P10060,Olink Inflammation,96,0,0.0,0.0,0.0104
Protein_066,OID10066,P10066,Olink Neurology,96,0,0.0,0.0,0.0625
Protein_069,OID10069,P10069,Olink Cardiometabolic,96,0,0.0,0.0,0.0208
Protein_093,OID10093,P10093,Olink Cardiometabolic,96,0,0.0,0.0,0.0729
Protein_094,OID10094,P10094,Olink Neurology,96,0,0.0,0.0,0.0208
Protein_106,OID10106,P10106,Olink Neurology,96,0,0.0,0.0,0.0417
Protein_108,OID10108,P10108,Olink Inflammation,96,0,0.0,0.0,0.0625
Protein_121,OID10121,P10121,Olink Cardiometabolic,96,0,0.0,0.0,0.0521
Protein_132,OID10132,P10132,Olink Inflammation,96,0,0.0,0.0,0.0417
Protein_133,OID10133,P10133,Olink Cardiometabolic,96,0,0.0,0.0,0.0104
Protein_140,OID10140,P10140,Olink Inflammation,96,0,0.0,0.0,0.0312
Protein_148,OID10148,P10148,Olink Inflammation,96,0,0.0,0.0,0.0312
Protein_151,OID10151,P10151,Olink Oncology,96,0,0.0,0.0,0.0104
Protein_157,OID10157,P10157,Olink Cardiometabolic,96,0,0.0,0.0,0.0417
Protein_161,OID10161,P10161,Olink Cardiometabolic,96,0,0.0,0.0,0.0521
Protein_168,OID10168,P10168,Olink Inflammation,96,0,0.0,0.0,0.0208
Protein_172,OID10172,P10172,Olink Inflammation,96,0,0.0,0.0,0.0208
Protein_182,OID10182,P10182,Olink Neurology,96,0,0.0,0.0,0.0417
Protein_198,OID10198,P10198,Olink Neurology,96,0,0.0,0.0,0.0208
Protein_199,OID10199,P10199,Olink Oncology,96,0,0.0,0.0,0.0625
Protein_205,OID10205,P10205,Olink Cardiometabolic,96,0,0.0,0.0,0.0104
Protein_207,OID10207,P10207,Olink Oncology,96,0,0.0,0.0,0.0312
Protein_216,OID10216,P10216,Olink Inflammation,96,0,0.0,0.0,0.0625
Protein_218,OID10218,P10218,Olink Neurology,96,0,0.0,0.0,0.0208
Protein_226,OID10226,P10226,Olink Neurology,96,0,0.0,0.0,0.0312
Protein_235,OID10235,P10235,Olink Oncology,96,0,0.0,0.0,0.0417
